Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC1,WTCHG_98548,5,12,BC12,Lib 5_12,4,F,10,,Testis 4F,F10,4F10,WTCHG_98548_12
FC1,WTCHG_98548,5,13,BC13,Lib 5_13,4,F,13,,Testis 4F,F13,4F13,WTCHG_98548_13
FC1,WTCHG_98548,5,14,BC14,Lib 5_14,4,F,15,,Testis 4F,F15,4F15,WTCHG_98548_14
FC1,WTCHG_98548,5,15,BC15,Lib 5_15,4,F,16,,Testis 4F,F16,4F16,WTCHG_98548_15
FC1,WTCHG_98548,5,16,BC16,Lib 5_16,4,F,17,,Testis 4F,F17,4F17,WTCHG_98548_16
FC1,WTCHG_98548,5,17,BC17,Lib 5_17,4,F,18,,Testis 4F,F18,4F18,WTCHG_98548_17
FC1,WTCHG_98548,5,18,BC18,Lib 5_18,4,F,19,,Testis 4F,F19,4F19,WTCHG_98548_18
FC1,WTCHG_98549,6,1,BC1,Lib 6_1,4,F,20,,Testis 4F,F20,4F20,WTCHG_98549_01
FC1,WTCHG_98549,6,2,BC2,Lib 6_2,4,F,23,,Testis 4F,F23,4F23,WTCHG_98549_02
FC1,WTCHG_98549,6,3,BC3,Lib 6_3,4,F,24,,Testis 4F,F24,4F24,WTCHG_98549_03
FC1,WTCHG_98549,6,4,BC4,Lib 6_4,4,F,25,,Testis 4F,F25,4F25,WTCHG_98549_04
FC1,WTCHG_98549,6,5,BC5,Lib 6_5,4,F,26,,Testis 4F,F26,4F26,WTCHG_98549_05
FC1,WTCHG_98549,6,6,BC6,Lib 6_6,4,F,27,,Testis 4F,F27,4F27,WTCHG_98549_06
FC1,WTCHG_98549,6,7,BC7,Lib 6_7,4,F,28,,Testis 4F,F28,4F28,WTCHG_98549_07
FC1,WTCHG_98549,6,8,BC8,Lib 6_8,4,G,1,,Testis 4G,G1,4G1,WTCHG_98549_08
FC1,WTCHG_98549,6,9,BC9,Lib 6_9,4,G,2,,Testis 4G,G2,4G2,WTCHG_98549_09
FC1,WTCHG_98549,6,10,BC10,Lib 6_10,4,G,3,,Testis 4G,G3,4G3,WTCHG_98549_10
FC1,WTCHG_98549,6,11,BC11,Lib 6_11,4,G,4,,Testis 4G,G4,4G4,WTCHG_98549_11
FC1,WTCHG_98549,6,12,BC12,Lib 6_12,4,G,5,,Testis 4G,G5,4G5,WTCHG_98549_12
FC1,WTCHG_98549,6,13,BC13,Lib 6_13,4,G,7,,Testis 4G,G7,4G7,WTCHG_98549_13
